^ size^ seq_mean^ seq_std^ openmp_mean^ openmp_std^ cuda_mean^ cuda_std ^
| 10000| 602.0| 5.82| 102.04| 14.02| 1346.75| 46.52 |
| 11000| 722.88| 6.34| 112.28| 7.1| 1432.79| 69.47 |
| 12000| 866.02| 5.35| 146.3| 13.02| 1603.8| 60.12 |
| 13000| 1006.01| 3.88| 185.32| 33.3| 1656.03| 27.19 |
| 14000| 1170.93| 4.12| 190.99| 9.01| 1697.23| 80.07 |
| 15000| 1379.94| 19.14| 219.33| 13.69| 1791.34| 24.55 |
| 16000| 1559.97| 19.62| 269.79| 13.44| 1921.91| 55.59 |
| 17000| 1763.4| 39.47| 296.16| 28.8| 2171.69| 90.67 |
| 18000| 1995.25| 31.1| 334.7| 16.87| 2242.55| 76.93 |
| 19000| 2227.04| 84.55| 362.05| 29.66| 2386.76| 54.09 |
| 20000| 2390.86| 11.01| 415.52| 19.85| 2589.06| 64.21 |
| 21000| 2745.72| 39.02| 440.2| 29.55| 2576.05| 45.8 |
| 22000| 2925.77| 32.61| 516.31| 32.99| 2724.39| 107.11 |
| 23000| 3176.2| 15.78| 545.08| 13.86| 2979.15| 90.06 |
| 24000| 3453.55| 9.7| 609.99| 39.33| 2982.77| 59.52 |
| 25000| 3717.04| 31.94| 713.84| 40.46| 3125.08| 59.34 |
| 26000| 3980.01| 22.31| 717.81| 26.84| 3245.97| 74.45 |
| 27000| 4316.07| 31.48| 785.95| 15.61| 3409.53| 63.61 |
| 28000| 4695.89| 73.31| 836.46| 11.33| 3448.45| 65.49 |
| 29000| 5206.65| 48.59| 905.86| 19.1| 3567.76| 24.72 |
| 30000| 5520.99| 141.14| 960.47| 15.95| 3723.89| 116.92 |
| 31000| 6007.05| 55.94| 1023.66| 13.65| 3877.1| 56.91 |
| 32000| 6276.41| 176.58| 1095.74| 34.92| 4027.27| 72.69 |
| 33000| 6953.36| 196.01| 1144.87| 19.7| 4147.01| 67.5 |
| 34000| 7236.32| 193.71| 1266.17| 96.22| 4283.85| 96.13 |
| 35000| 7806.8| 213.23| 1376.16| 82.28| 4349.42| 29.63 |
| 36000| 8279.42| 302.25| 1366.22| 25.01| 4529.5| 44.75 |
| 37000| 8786.34| 208.36| 1438.04| 28.92| 4834.43| 109.64 |
| 38000| 9461.38| 117.29| 1543.08| 42.39| 4803.12| 50.81 |
| 39000| 10018.26| 455.82| 1647.56| 70.66| 4956.52| 39.79 |
| 40000| 10344.09| 333.63| 1733.42| 62.65| 5029.74| 68.13 |
| 41000| 11068.53| 476.24| 1892.79| 113.34| 5127.59| 46.83 |
| 42000| 11251.87| 265.19| 1987.22| 111.18| 5390.35| 119.76 |
| 43000| 11865.85| 342.75| 1964.63| 13.09| 5426.4| 126.01 |
| 44000| 12300.69| 270.12| 2082.86| 51.0| 5525.46| 88.36 |
| 45000| 12638.33| 179.34| 2260.87| 117.95| 5859.2| 62.08 |
| 46000| 13381.15| 453.47| 2313.63| 103.5| 6048.87| 71.45 |
| 47000| 14125.35| 219.72| 2504.8| 104.68| 6093.22| 48.23 |
| 48000| 14914.48| 217.69| 2638.66| 110.64| 6247.69| 97.69 |
| 49000| 15741.69| 364.74| 2711.75| 100.75| 6238.27| 96.5 |
| 50000| 16248.02| 289.97| 2733.92| 73.6| 6631.47| 154.53 |
| 51000| 17414.49| 724.17| 2824.88| 48.27| 6602.86| 63.22 |
| 52000| 17356.32| 391.02| 2920.22| 107.78| 6796.6| 87.3 |
| 53000| 19447.77| 1086.92| 3084.62| 63.93| 7027.22| 116.53 |
| 54000| 19880.41| 1190.67| 3253.89| 139.93| 7190.61| 127.85 |
| 55000| 19837.58| 674.01| 3462.35| 118.8| 7549.28| 183.43 |
| 56000| 19622.95| 399.27| 3609.43| 143.61| 7686.75| 126.19 |
| 57000| 20894.5| 775.03| 3613.63| 55.93| 7755.63| 140.2 |
| 58000| 20993.68| 362.43| 3882.21| 97.08| 7827.94| 148.5 |
| 59000| 22277.03| 465.6| 3944.79| 77.03| 7827.25| 103.09 |
| 60000| 23300.76| 871.82| 4131.96| 278.82| 8260.17| 215.52 |
