7,8,4,4,896
1,4,6,5,120
2,5,3,1,30
1,2,2,6,24
7,3,8,1,168
4,6,3,4,288
8,8,4,2,512
8,4,6,1,192
8,5,8,3,960
8,5,6,4,960
1,8,2,7,112
4,4,6,4,384
2,6,8,2,192
3,8,5,4,480
5,4,5,8,800
4,8,4,8,1024
1,7,4,7,196
8,7,5,4,1120
6,3,1,2,36
4,6,2,7,336
5,6,2,8,480
7,2,7,3,294
3,4,6,6,432
5,1,4,2,40
8,1,4,1,32
6,4,1,3,72
7,2,3,8,336
5,4,4,3,240
1,4,2,5,40
8,4,2,4,18
6,2,1,8,96
8,6,6,2,576
6,6,2,2,144
5,3,4,5,300
3,6,2,2,72
3,2,2,2,24
2,2,8,3,96
6,3,1,5,90
6,8,7,7,2352
6,1,2,6,72
6,4,4,4,384
8,5,3,2,240
2,7,4,1,56
7,7,6,7,2058
1,8,1,5,40
4,6,8,2,384
4,4,4,8,512
5,4,6,3,360
6,8,7,6,2016
3,5,6,4,360
5,5,2,5,250
7,3,6,6,756
6,4,6,3,432
5,5,3,7,525
5,2,5,6,300
7,3,8,6,24
7,8,2,8,896
7,3,6,8,1008
1,7,6,5,210
3,1,1,8,24
7,2,4,5,280
7,8,8,2,896
2,2,7,5,140
7,7,5,5,1225
3,4,8,1,96
4,1,1,6,24
4,5,1,6,120
6,7,8,5,1680
4,5,8,2,320
4,7,2,3,168
4,6,3,1,72
6,3,4,7,504
7,7,2,1,98
2,7,3,2,84
4,2,2,2,32
6,6,5,3,540
3,7,7,8,1176
6,8,6,7,2016
4,3,1,4,48
5,2,2,8,160
5,6,4,3,360
5,4,6,8,960
5,2,8,1,80
7,5,1,3,105
8,5,3,8,960
3,8,4,8,768
8,1,8,1,64
3,6,2,3,108
8,2,7,6,672
7,8,3,2,336
2,8,7,5,560
1,2,1,8,16
6,6,6,3,648
7,6,2,5,420
1,8,3,8,192
5,1,4,2,40
7,8,8,4,1792
2,5,7,3,210
6,5,1,3,90
7,2,3,8,336
5,5,5,6,750
1,2,1,4,8
8,5,8,5,1600
1,3,8,4,96
5,2,3,4,120
2,4,8,5,320
5,2,4,5,200
4,6,8,7,1344
6,7,6,8,2016
6,6,2,8,576
4,3,7,3,252
2,2,1,5,20
2,4,1,3,24
8,6,5,3,720
8,7,4,5,1120
4,7,1,5,140
1,4,3,8,96
8,6,5,8,1920
7,3,4,8,672
6,8,3,1,144
6,4,4,8,768
6,2,7,4,336
1,5,4,4,80
7,5,4,8,1120
6,7,8,4,1344
5,4,3,4,240
2,5,5,8,20
2,2,5,7,140
4,1,3,3,36
8,2,3,7,336
4,2,4,3,96
7,8,4,6,1344
5,2,6,7,420
8,4,3,8,768
7,4,1,7,196
4,4,3,1,48
5,4,5,8,800
4,3,3,5,180
7,5,3,8,840
5,7,7,4,980
5,1,6,1,30
5,5,3,7,525
5,8,6,5,1200
7,1,3,4,84
1,8,1,5,15
5,4,8,8,1280
8,6,5,4,23
5,5,1,8,200
7,6,6,3,756
7,5,8,4,1120
7,7,3,4,588
3,4,1,5,60
5,4,3,7,420
8,1,6,1,48
2,7,4,5,280
3,3,8,1,72
7,3,8,6,1008
7,6,4,1,168
6,7,7,8,2352
3,7,1,8,19
8,1,4,7,224
7,5,6,5,1050
8,4,2,1,64
7,8,3,7,1176
7,8,2,3,336
5,2,8,6,480
5,6,5,8,1200
1,1,1,6,6
3,7,8,3,504
1,3,3,4,36
7,8,8,5,2240
8,3,2,1,48
8,4,6,6,1152
7,5,4,3,420
6,5,5,5,750
6,2,6,7,504
8,3,6,8,1152
5,5,4,7,700
7,2,8,7,784
2,3,1,4,24
8,2,3,3,16
7,8,5,3,840
4,3,6,8,576
8,5,5,2,400
8,3,4,3,288
2,6,8,7,672
7,1,4,2,56
1,4,5,8,160
2,3,8,2,96
7,6,3,7,882
8,8,5,4,25
2,8,4,6,384
5,8,5,6,1200
4,4,7,2,224
2,3,5,4,120
4,8,8,4,1024
3,3,2,8,144
4,1,6,6,144
4,1,3,6,72
1,1,7,8,56
7,2,8,5,560
3,2,7,1,42
6,8,1,5,240
5,2,1,6,60
7,1,6,2,84
5,5,5,2,17
3,8,1,6,144
7,4,7,7,1372
3,1,6,5,90
6,8,2,8,768
7,1,7,4,196
5,6,5,2,300
1,5,7,3,105
8,1,6,2,96
4,1,5,6,120
5,4,3,5,300
1,5,6,6,180
2,7,6,4,336
7,5,6,5,1050
5,5,5,8,1000
3,5,3,1,45
3,3,1,5,45
7,6,2,7,588
2,6,6,2,144
8,2,4,8,512
5,8,1,5,200
1,6,7,5,210
2,1,1,7,14
2,5,4,7,280
8,7,8,4,1792
2,5,4,6,240
3,5,8,1,120
3,8,1,8,192
4,7,7,7,1372
2,5,4,8,320
2,6,6,3,216
1,1,4,7,28
7,8,6,6,2016
6,2,4,8,384
6,4,7,4,672
1,4,1,7,13
8,8,3,3,576
4,3,4,4,192
2,8,4,4,256
4,8,1,5,160
8,7,3,2,336
1,6,3,2,36
5,8,4,7,1120
3,6,8,1,144
4,5,1,6,120
7,6,4,5,840
2,6,2,2,48
7,5,8,1,21
1,3,8,8,192
4,5,3,7,420
4,6,6,5,720
4,6,7,2,336
7,3,3,1,63
6,3,3,4,216
4,1,8,2,15
8,2,7,8,896
4,4,5,2,160
1,8,4,8,256
7,8,4,5,1120
8,7,4,3,672
1,7,4,7,196
6,1,7,5,210
6,4,3,8,576
2,2,4,3,48
3,5,3,1,12
1,6,6,3,108
6,6,1,8,288
6,7,5,8,1680
7,5,7,1,245
3,8,5,1,120
7,4,6,5,840
2,7,2,6,168
4,8,3,1,96
1,6,4,7,168
3,2,2,7,14
7,5,2,4,280
8,7,8,8,3584
1,1,5,1,5
8,2,8,7,896
6,7,7,3,882
4,1,5,2,40
6,2,7,4,336
4,4,2,5,160
2,5,4,6,240
4,4,1,8,128
5,5,5,4,500
5,3,8,6,720
8,6,3,5,720
4,1,3,3,36
7,1,3,8,168
8,8,5,1,320
7,1,4,2,56
6,2,3,4,144
8,5,5,4,800
6,2,2,1,11
1,6,8,1,48
4,8,7,8,1792
6,3,5,8,720
4,3,4,1,48
7,4,6,2,336
6,8,4,3,576
6,2,8,6,576
6,2,6,8,576
3,7,8,8,1344
6,7,6,2,504
7,6,7,3,882
5,2,6,8,480
3,4,8,6,576
8,7,7,6,2352
1,5,1,6,30
7,4,2,3,168
1,6,7,3,126
2,3,5,5,150
1,1,5,2,10
5,1,6,1,30
1,3,5,2,30
6,6,2,5,360
2,2,4,1,16
2,2,2,8,64
5,8,4,8,1280
8,1,4,4,17
3,7,4,6,504
2,6,7,5,420
6,6,1,6,216
5,4,6,4,480
5,3,4,1,60
6,4,6,7,1008
1,7,2,4,56
7,3,1,2,42
5,4,8,2,320
8,2,5,6,480
8,7,2,2,19
5,7,2,3,210
4,5,2,5,16
4,1,2,3,24
5,3,8,2,240
6,4,2,4,192
2,2,2,7,56
2,5,5,3,150
7,8,8,7,3136
6,4,7,7,1176
3,1,8,4,96
8,6,4,6,24
3,4,1,8,96
1,4,4,5,80
6,4,3,4,288
5,8,5,3,600
8,5,2,4,320
8,1,5,2,80
3,5,2,3,90
2,3,5,1,30
8,6,1,1,48
4,3,8,5,480
7,4,8,1,224
3,8,2,6,288
8,8,1,1,64
3,3,2,3,11
4,5,1,7,140
5,2,6,1,60
8,1,6,2,96
7,7,8,7,2744
6,3,1,2,36
6,7,3,1,126
5,2,1,1,10
